SPECIESNAME,YEAR,AREA,REGION,COUNT
American Coot,1947,54,lw,12350
American Coot,1947,57,lw,25500
American Coot,1947,63,lw,330
American Coot,1947,65,ec,950
American Coot,1947,66,ec,30825
American Coot,1947,67,ec,1500000
American Coot,1947,68,ec,550000
American Coot,1947,69,ec,3750000
American Coot,1947,70,ec,46500
American Coot,1947,71,ec,596000
American Coot,1947,72,uw,1850
American Coot,1947,74,uw,2620
American Coot,1947,79,uw,24500
American Coot,1947,84,uw,139156
American Coot,1947,86,uw,12350
American Coot,1947,87,uw,0
American Coot,1947,88,uw,0
American Coot,1948,17a,oh,168250
American Coot,1948,31,ch,0
American Coot,1948,32,ch,0
American Coot,1948,36,ch,20940
American Coot,1948,43,ch,16050
American Coot,1948,46,ch,3700
American Coot,1948,47,ch,350
American Coot,1948,54,lw,51400
American Coot,1948,57,lw,17800
American Coot,1948,63,lw,2500
American Coot,1948,65,ec,500
American Coot,1948,66,ec,347700
American Coot,1948,67,ec,1880000
American Coot,1948,68,ec,69100
American Coot,1948,69,ec,1271000
American Coot,1948,70,ec,8333
American Coot,1948,71,ec,301500
American Coot,1948,72,uw,950
American Coot,1948,74,uw,500
American Coot,1948,79,uw,700
American Coot,1948,84,uw,9750
American Coot,1948,86,uw,51400
American Coot,1948,87,uw,0
American Coot,1948,88,uw,0
American Coot,1949,31,ch,0
American Coot,1949,32,ch,0
American Coot,1949,36,ch,18400
American Coot,1949,43,ch,7000
American Coot,1949,46,ch,76000
American Coot,1949,54,lw,43750
American Coot,1949,57,lw,45000
American Coot,1949,57a,oh,0
American Coot,1949,60a,oh,0
American Coot,1949,63,lw,187400
American Coot,1949,65,ec,4315
American Coot,1949,66,ec,30000
American Coot,1949,67,ec,246600
American Coot,1949,68,ec,39200
American Coot,1949,69,ec,196250
American Coot,1949,70,ec,160984
American Coot,1949,71,ec,259950
American Coot,1949,72,uw,700
American Coot,1949,74,uw,2100
American Coot,1949,79,uw,15275
American Coot,1949,84,uw,128024
American Coot,1949,86,uw,43750
American Coot,1949,87,uw,0
American Coot,1949,88,uw,0
American Coot,1950,36,ch,6100
American Coot,1950,43,ch,2100
American Coot,1950,46,ch,37500
American Coot,1950,54,lw,11175
American Coot,1950,57,lw,23300
American Coot,1950,63,lw,57650
American Coot,1950,65,ec,450
American Coot,1950,66,ec,600
American Coot,1950,67,ec,216000
American Coot,1950,68,ec,8800
American Coot,1950,69,ec,77250
American Coot,1950,70,ec,23497
American Coot,1950,71,ec,152000
American Coot,1950,72,uw,400
American Coot,1950,74,uw,50
American Coot,1950,79,uw,800
American Coot,1950,84,uw,8619
American Coot,1950,86,uw,11175
American Coot,1950,87,uw,0
American Coot,1950,88,uw,0
