YEAR,AREA,REGION,SPECIES,SPECIESNAME,COUNT
2003,18,nh,buff,Bufflehead,20
2003,18,nh,scot,Generic Scoter,20
2003,18,nh,scot,Generic Scoter,100
2003,19,nh,amwi,American Wigeon,100
2003,19,nh,scau,Generic Scaup,300
2003,18,nh,scot,Generic Scoter,20
2003,19,nh,scot,Generic Scoter,100
2003,18,nh,scot,Generic Scoter,50
2003,19,nh,scau,Generic Scaup,300
2003,18,nh,merg,Generic Merganser,10
2003,19,nh,scau,Generic Scaup,50
2003,19,nh,scot,Generic Scoter,20
2003,19,nh,scau,Generic Scaup,500
2003,18,nh,buff,Bufflehead,20
2003,14,nh,bwte,Blue-winged Teal,150
2003,17,nh,redh,Redhead,20
2003,18,nh,merg,Generic Merganser,10
2003,19,nh,buff,Bufflehead,200
2003,11,nh,amwi,American Wigeon,500
2003,19,nh,brpe,Brown Pelican,60
2003,19,nh,scau,Generic Scaup,200
2003,19,nh,redh,Redhead,200
2003,18,nh,scot,Generic Scoter,200
2003,10,nh,redh,Redhead,150
2003,11,nh,bwte,Blue-winged Teal,100
2003,19,nh,mall,Mallard,300
2003,19,nh,gold,Generic Goldeneye,300
2003,19,nh,merg,Generic Merganser,100
2003,19,nh,buff,Bufflehead,50
2003,19,nh,nopi,Northern Pintail,50
2003,18,nh,scau,Generic Scaup,300
2003,10,nh,brpe,Brown Pelican,10
2003,10,nh,ospr,Osprey,1
2003,18,nh,gold,Generic Goldeneye,20
2003,19,nh,redh,Redhead,100
2003,18,nh,merg,Generic Merganser,5
2003,18,nh,brpe,Brown Pelican,50
2003,18,nh,brpe,Brown Pelican,5
2003,18,nh,brpe,Brown Pelican,40
2003,18,nh,scot,Generic Scoter,300
2003,18,nh,buff,Bufflehead,100
2003,17,nh,brpe,Brown Pelican,80
2003,19,nh,nopi,Northern Pintail,100
2003,19,nh,scau,Generic Scaup,200
2003,14,nh,agwt,American Green-winged Teal,600
2003,17,nh,merg,Generic Merganser,20
2003,10,nh,mall,Mallard,40
2003,11,nh,bwte,Blue-winged Teal,1500
2003,10,nh,ospr,Osprey,1
2003,11,nh,brpe,Brown Pelican,4
