SPECIESNAME,YEAR,AREA,REGION,COUNT
American Coot,1947,54,Lower West Coast,12350
American Coot,1947,57,Lower West Coast,25500
American Coot,1947,63,Lower West Coast,330
American Coot,1947,65,East Coast,950
American Coot,1947,66,East Coast,30825
American Coot,1947,67,East Coast,1500000
American Coot,1947,68,East Coast,550000
American Coot,1947,69,East Coast,3750000
American Coot,1947,70,East Coast,46500
American Coot,1947,71,East Coast,596000
American Coot,1947,72,Upper west coast,1850
American Coot,1947,74,Upper west coast,2620
American Coot,1947,79,Upper west coast,24500
American Coot,1947,84,Upper west coast,139156
American Coot,1947,86,Upper west coast,12350
American Coot,1947,87,Upper west coast,0
American Coot,1947,88,Upper west coast,0
American Coot,1948,17a,Other interior highlands,168250
American Coot,1948,31,Central High,0
American Coot,1948,32,Central High,0
American Coot,1948,36,Central High,20940
American Coot,1948,43,Central High,16050
American Coot,1948,46,Central High,3700
American Coot,1948,47,Central High,350
American Coot,1948,54,Lower West Coast,51400
American Coot,1948,57,Lower West Coast,17800
American Coot,1948,63,Lower West Coast,2500
American Coot,1948,65,East Coast,500
American Coot,1948,66,East Coast,347700
American Coot,1948,67,East Coast,1880000
American Coot,1948,68,East Coast,69100
American Coot,1948,69,East Coast,1271000
American Coot,1948,70,East Coast,8333
American Coot,1948,71,East Coast,301500
American Coot,1948,72,Upper west coast,950
American Coot,1948,74,Upper west coast,500
American Coot,1948,79,Upper west coast,700
American Coot,1948,84,Upper west coast,9750
American Coot,1948,86,Upper west coast,51400
American Coot,1948,87,Upper west coast,0
American Coot,1948,88,Upper west coast,0
American Coot,1949,31,Central High,0
American Coot,1949,32,Central High,0
American Coot,1949,36,Central High,18400
American Coot,1949,43,Central High,7000
American Coot,1949,46,Central High,76000
American Coot,1949,54,Lower West Coast,43750
American Coot,1949,57,Lower West Coast,45000
American Coot,1949,57a,Other interior highlands,0
American Coot,1949,60a,Other interior highlands,0
American Coot,1949,63,Lower West Coast,187400
American Coot,1949,65,East Coast,4315
American Coot,1949,66,East Coast,30000
American Coot,1949,67,East Coast,246600
American Coot,1949,68,East Coast,39200
American Coot,1949,69,East Coast,196250
American Coot,1949,70,East Coast,160984
American Coot,1949,71,East Coast,259950
American Coot,1949,72,Upper west coast,700
American Coot,1949,74,Upper west coast,2100
American Coot,1949,79,Upper west coast,15275
American Coot,1949,84,Upper west coast,128024
American Coot,1949,86,Upper west coast,43750
American Coot,1949,87,Upper west coast,0
American Coot,1949,88,Upper west coast,0
American Coot,1950,36,Central High,6100
American Coot,1950,43,Central High,2100
American Coot,1950,46,Central High,37500
American Coot,1950,54,Lower West Coast,11175
American Coot,1950,57,Lower West Coast,23300
American Coot,1950,63,Lower West Coast,57650
American Coot,1950,65,East Coast,450
American Coot,1950,66,East Coast,600
American Coot,1950,67,East Coast,216000
American Coot,1950,68,East Coast,8800
American Coot,1950,69,East Coast,77250
American Coot,1950,70,East Coast,23497
American Coot,1950,71,East Coast,152000
American Coot,1950,72,Upper west coast,400
American Coot,1950,74,Upper west coast,50
American Coot,1950,79,Upper west coast,800
American Coot,1950,84,Upper west coast,8619
American Coot,1950,86,Upper west coast,11175
American Coot,1950,87,Upper west coast,0
American Coot,1950,88,Upper west coast,0
American Coot,1951,11,Northwen Highlands,0
American Coot,1951,16,Northwen Highlands,2950
American Coot,1951,21,Northwen Highlands,1655
American Coot,1951,3,Northwen Highlands,0
American Coot,1951,31,Central High,1000
American Coot,1951,32,Central High,0
American Coot,1951,33,Central High,0
American Coot,1951,36,Central High,1220
American Coot,1951,37,Central High,16900
American Coot,1951,43,Central High,650
American Coot,1951,44,Central High,1000
American Coot,1951,45,Central High,1200
American Coot,1951,46,Central High,19700
American Coot,1951,47,Central High,2800
American Coot,1951,51a,Other interior highlands,300
American Coot,1951,54,Lower West Coast,40290
American Coot,1951,57,Lower West Coast,23800
